Beach,Image,Results,Seal Conf Lvl,Clump Conf Lvl,Overlap,Clump Threshold,Ground Truth,Median Prop Diff
LN,DJI_0783,51.68,40,30,21,6,9,4.742222222222222
LN,DJI_0783,31.34,30,32,21,5,9,2.482222222222222
LN,DJI_0783,53.68,30,32,21,6,9,4.964444444444444
LN,DJI_0783,31.34,32,32,21,5,9,2.482222222222222
LN,DJI_0783,53.68,32,32,21,6,9,4.964444444444444
LN,DJI_0783,31.34,34,32,21,5,9,2.482222222222222
LN,DJI_0783,53.68,34,32,21,6,9,4.964444444444444
LN,DJI_0783,30.34,36,32,21,5,9,2.371111111111111
LN,DJI_0783,52.68,36,32,21,6,9,4.8533333333333335
LN,DJI_0783,30.34,38,32,21,5,9,2.371111111111111
LN,DJI_0783,52.68,38,32,21,6,9,4.8533333333333335
LN,DJI_0783,29.34,40,32,21,5,9,2.26
LN,DJI_0783,51.68,40,32,21,6,9,4.742222222222222
LN,DJI_0783,29.32,30,34,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,30,34,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,32,34,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,34,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,21,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,34,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,34,21,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,21,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,34,21,5,9,2.035555555555556
LN,DJI_0783,27.32,40,34,21,6,9,2.035555555555556
LN,DJI_0783,29.32,30,36,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,30,36,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,21,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,36,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,36,21,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,21,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,36,21,5,9,2.035555555555556
LN,DJI_0783,27.32,40,36,21,6,9,2.035555555555556
LN,DJI_0783,11.0,30,38,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,38,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,21,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,38,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,38,21,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,21,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,38,21,5,9,0.0
LN,DJI_0783,9.0,40,38,21,6,9,0.0
LN,DJI_0783,11.0,30,40,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,40,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,21,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,40,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,40,21,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,21,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,40,21,5,9,0.0
LN,DJI_0783,9.0,40,40,21,6,9,0.0
LN,DJI_0786,3.0,30,30,20,5,3,0.0
LN,DJI_0786,3.0,30,30,20,6,3,0.0
LN,DJI_0786,3.0,32,30,20,5,3,0.0
LN,DJI_0786,3.0,32,30,20,6,3,0.0
LN,DJI_0786,3.0,34,30,20,5,3,0.0
LN,DJI_0786,3.0,34,30,20,6,3,0.0
LN,DJI_0786,2.0,36,30,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,30,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,30,20,5,3,0.6666666666666666
